transaction UUID,Driver UUID,Driver first name,Driver surname,Trip UUID,Description,Organisation name,Org alias,vs reporting,Paid to you,Paid to you : Your earnings,Paid to you : Trip balance : Payouts : Cash collected,Paid to you : Your earnings : Fare,Paid to you : Your earnings : Taxes,Paid to you:Your earnings:Fare:Fare,Paid to you:Your earnings:Fare:Booking fee,Paid to you:Your earnings:Taxes:Income tax withholding,Paid to you:Your earnings:Fare:Cancellation,Paid to you:Your earnings:Other fees:Platform fee,Paid to you:Trip balance:Refunds:IGST Support services,Paid to you:Trip balance:Expenses:IGST Support services,Paid to you:Your earnings:Tip,Paid to you:Trip balance:Refunds:Toll,Paid to you:Your earnings:Fare:Surge,Paid to you:Your earnings:Fare:Wait Time at Pick-up,Paid to you:Your earnings:Fare:UberX Priority,Paid to you:Your earnings:Fare:Reservation Fee,Paid to you:Your earnings:Fare:Outskirt Surcharge,Paid to you:Trip balance:Expenses:Driver subscription charge
TXN_F3FD6EB5,DRIVER_8AE7BC26,ANON,DRIVER,TRIP_90054660,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 05:22:11,-0.28,-0.28,0.0,0.0,0,0.0,0.0,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_F11D366D,DRIVER_C5F858AE,ANON,DRIVER,TRIP_43F258DD,trip completed order,Fleet_Operator_India,FOC,2025-04-18 05:23:12,-23.34,466.61,-489.95,466.61,0,406.61,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_10E4F065,DRIVER_C5F858AE,ANON,DRIVER,TRIP_43F258DD,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 05:23:14,-0.49,-0.49,0.0,0.0,0,0.0,0.0,-0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_95E4CAC1,DRIVER_AEBD9AA5,ANON,DRIVER,TRIP_3F497A4B,trip completed order,Fleet_Operator_India,FOC,2025-04-18 05:39:54,-25.24,449.72,-529.97,449.72,0,341.14,13.34,0.0,0.0,0.0,0.0,0.0,0.0,55.01,0.0,0.0,0.0,95.24,0.0,0.0
TXN_4C1C4C68,DRIVER_AEBD9AA5,ANON,DRIVER,TRIP_3F497A4B,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 05:39:56,-0.5,-0.5,0.0,0.0,0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_A1CB3C5E,DRIVER_5D6AF75D,ANON,DRIVER,TRIP_81776861,trip completed order,Fleet_Operator_India,FOC,2025-04-18 05:49:10,-10.94,219.0,-229.94,219.0,0,195.2,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_E0562FD9,DRIVER_5D6AF75D,ANON,DRIVER,TRIP_81776861,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 05:49:12,-0.23,-0.23,0.0,0.0,0,0.0,0.0,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_035055A0,DRIVER_C5F858AE,ANON,DRIVER,TRIP_3431D68D,trip completed order,Fleet_Operator_India,FOC,2025-04-18 06:06:42,-11.9,268.01,-279.91,238.01,0,214.21,23.8,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_75DBC922,DRIVER_C5F858AE,ANON,DRIVER,TRIP_3431D68D,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 06:06:44,-0.25,-0.25,0.0,0.0,0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_C0CC5406,DRIVER_2D1CBFAF,ANON,DRIVER,TRIP_93473D18,trip completed order,Fleet_Operator_India,FOC,2025-04-18 06:16:03,34.72,234.64,-199.92,234.64,0,221.3,13.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_29D540EF,DRIVER_2D1CBFAF,ANON,DRIVER,TRIP_93473D18,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 06:16:05,-0.2,-0.2,0.0,0.0,0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_B141FED5,DRIVER_D4BC4431,ANON,DRIVER,TRIP_BFB4B3ED,trip completed order,Fleet_Operator_India,FOC,2025-04-18 06:26:12,-8.56,171.37,-179.93,171.37,0,158.03,13.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_3FD407A9,DRIVER_D4BC4431,ANON,DRIVER,TRIP_BFB4B3ED,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 06:26:14,-0.18,-0.18,0.0,0.0,0,0.0,0.0,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_08F2F445,DRIVER_BCC62548,ANON,DRIVER,TRIP_A3E73F42,trip completed order,Fleet_Operator_India,FOC,2025-04-18 06:29:43,-24.76,439.21,-519.97,439.21,0,379.21,60.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_7E0005FD,DRIVER_BCC62548,ANON,DRIVER,TRIP_A3E73F42,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 06:29:46,-0.52,-0.52,0.0,0.0,0,0.0,0.0,-0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_6467CA66,DRIVER_EB19EEE0,ANON,DRIVER,TRIP_549EDB39,trip completed order,Fleet_Operator_India,FOC,2025-04-18 06:30:20,-10.0,199.93,-209.93,199.93,0,186.59,13.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_00CC4CDD,DRIVER_EB19EEE0,ANON,DRIVER,TRIP_549EDB39,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 06:30:22,-0.2,-0.2,0.0,0.0,0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_9B07A841,DRIVER_C5F858AE,ANON,DRIVER,TRIP_679AF983,trip completed order,Fleet_Operator_India,FOC,2025-04-18 06:50:33,-14.66,269.37,-284.03,269.37,0,238.02,28.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77,0.0,0.0,0.0,0.0
TXN_5AE6ABD4,DRIVER_C5F858AE,ANON,DRIVER,TRIP_679AF983,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 06:50:35,-0.29,-0.29,0.0,0.0,0,0.0,0.0,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_0A72340A,DRIVER_9A065E6D,ANON,DRIVER,TRIP_9F9AE533,trip completed order,Fleet_Operator_India,FOC,2025-04-18 06:51:56,22.95,127.92,-104.97,127.92,0,109.82,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_18CD6569,DRIVER_9A065E6D,ANON,DRIVER,TRIP_9F9AE533,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 06:51:58,-0.11,-0.11,0.0,0.0,0,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_72EE051F,DRIVER_EB19EEE0,ANON,DRIVER,TRIP_D69406CB,trip completed order,Fleet_Operator_India,FOC,2025-04-18 06:53:29,-7.14,142.82,-149.96,142.82,0,131.4,11.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_0BC0EAC2,DRIVER_EB19EEE0,ANON,DRIVER,TRIP_D69406CB,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 06:53:31,-0.15,-0.15,0.0,0.0,0,0.0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_DFCCE23D,DRIVER_194654C1,ANON,DRIVER,TRIP_9C5EEC13,trip completed order,Fleet_Operator_India,FOC,2025-04-18 07:03:18,-8.1,161.88,-169.98,161.88,0,150.46,11.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_5970D715,DRIVER_194654C1,ANON,DRIVER,TRIP_9C5EEC13,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 07:03:20,-0.17,-0.17,0.0,0.0,0,0.0,0.0,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_B112C2F5,DRIVER_19CDE5F6,ANON,DRIVER,TRIP_0140CE37,trip completed order,Fleet_Operator_India,FOC,2025-04-18 07:04:16,-31.49,543.31,-574.8,543.31,0,378.08,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99,0.0,95.24,0.0,0.0
TXN_87B3BDB6,DRIVER_19CDE5F6,ANON,DRIVER,TRIP_0140CE37,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 07:04:18,-0.54,-0.54,0.0,0.0,0,0.0,0.0,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_1182AA52,DRIVER_BCC62548,ANON,DRIVER,TRIP_F7F21F7D,trip completed order,Fleet_Operator_India,FOC,2025-04-18 07:15:25,12.48,222.43,-209.95,222.43,0,209.09,13.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_CBA9E557,DRIVER_BCC62548,ANON,DRIVER,TRIP_F7F21F7D,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 07:15:27,-0.21,-0.21,0.0,0.0,0,0.0,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_B01ECC4F,DRIVER_EB19EEE0,ANON,DRIVER,TRIP_2547784C,trip completed order,Fleet_Operator_India,FOC,2025-04-18 07:28:11,-8.56,171.36,-179.92,171.36,0,159.94,11.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_0F8C3D31,DRIVER_EB19EEE0,ANON,DRIVER,TRIP_2547784C,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 07:28:13,-0.18,-0.18,0.0,0.0,0,0.0,0.0,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_92E66E0E,DRIVER_9A065E6D,ANON,DRIVER,TRIP_25DAE49B,trip completed order,Fleet_Operator_India,FOC,2025-04-18 07:28:57,-10.48,209.45,-219.93,209.45,0,185.65,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_573AAD0E,DRIVER_9A065E6D,ANON,DRIVER,TRIP_25DAE49B,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 07:28:59,-0.22,-0.22,0.0,0.0,0,0.0,0.0,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_34600340,DRIVER_D4BC4431,ANON,DRIVER,TRIP_2EA4CDA2,trip completed order,Fleet_Operator_India,FOC,2025-04-18 07:34:29,-91.07,212.77,-303.84,212.77,0,172.25,13.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.85,3.33,0.0,0.0,0.0,0.0
TXN_62147496,DRIVER_D4BC4431,ANON,DRIVER,TRIP_2EA4CDA2,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 07:34:30,-0.22,-0.22,0.0,0.0,0,0.0,0.0,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_AFBD9017,DRIVER_C5F858AE,ANON,DRIVER,TRIP_9B159C11,trip completed order,Fleet_Operator_India,FOC,2025-04-18 07:39:41,-9.04,180.89,-189.93,180.89,0,162.79,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_05D3112D,DRIVER_C5F858AE,ANON,DRIVER,TRIP_9B159C11,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 07:39:44,-0.19,-0.19,0.0,0.0,0,0.0,0.0,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
